City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Lebu,CL,-37.6167,-73.65,52.03,77,95,3.65,overcast clouds
104,Kiruna,SE,67.8557,20.2251,50.92,62,12,11.5,few clouds
105,Surt,LY,31.2089,16.5887,79.43,83,0,9.71,clear sky
106,Bredasdorp,ZA,-34.5322,20.0403,47.93,71,0,3.22,clear sky
107,Pevek,RU,69.7008,170.3133,34.47,95,100,14.76,overcast clouds
108,Pitsunda,GE,43.1592,40.3378,71.78,66,0,4.5,clear sky
109,Praia,CV,14.9215,-23.5087,75.25,81,5,5.7,clear sky
110,Faanui,PF,-16.4833,-151.75,79.32,76,86,18.86,overcast clouds
111,Nizwa,OM,22.9333,57.5333,83.77,67,86,3.42,overcast clouds
112,Qaanaaq,GL,77.484,-69.3632,37.81,80,100,8.21,overcast clouds
113,Mitikas,GR,38.6699,20.9466,76.1,79,0,5.91,clear sky
114,Vardo,NO,70.3705,31.1107,59.2,94,100,14.23,light rain
115,Airai,TL,-8.9266,125.4092,56.12,83,96,2.66,overcast clouds
116,Sulphur,US,30.2366,-93.3774,87.78,81,40,8.05,scattered clouds
117,Lima,PE,-12.0432,-77.0282,63.9,84,57,7.23,broken clouds
118,Gigmoto,PH,13.7796,124.39,80.33,82,74,3.2,broken clouds
119,Russell,US,32.3502,-85.1999,89.31,66,20,3.44,few clouds
120,Manuk Mangkaw,PH,4.8,119.85,80.26,76,100,5.39,light rain
121,Klaksvik,FO,62.2266,-6.589,52.72,97,99,18.97,overcast clouds
122,Devonport,AU,-41.1667,146.35,51.1,93,100,7.85,overcast clouds
123,San Andres,CO,12.5847,-81.7006,81.75,78,3,12.41,clear sky
124,Sur,OM,22.5667,59.5289,84.34,81,95,10.78,overcast clouds
125,Menongue,AO,-14.6585,17.691,53.24,42,2,4.56,clear sky
126,Xichang,CN,27.8964,102.2634,66.63,97,100,0.36,light rain
127,Ushtobe,KZ,45.2514,77.9838,68.54,46,100,8.77,overcast clouds
128,Port Blair,IN,11.6667,92.75,81.45,78,100,12.8,overcast clouds
129,San Vicente,AR,-26.6167,-54.1333,55.42,99,100,4.03,overcast clouds
130,Hattiesburg,US,31.3271,-89.2903,91.72,68,20,8.05,thunderstorm
131,Marystown,CA,47.1666,-55.1483,61.03,78,99,10.89,overcast clouds
132,Mehamn,NO,71.0357,27.8492,51.01,95,100,16.37,light rain
133,Bethel,US,41.3712,-73.414,88.05,69,81,5.53,broken clouds
134,Sechura,PE,-5.5569,-80.8222,73.13,62,4,16.91,clear sky
