City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Taicheng,CN,2021-07-14 20:34:35,38.731,113.228,68.27,91,1,3.58
111,Prabumulih,ID,2021-07-14 20:34:36,-3.45,104.25,69.71,96,100,2.46
112,Hermanus,ZA,2021-07-14 20:30:28,-34.4187,19.2345,49.89,80,82,7.94
113,Xining,CN,2021-07-14 20:34:36,36.6167,101.7667,57.76,74,63,2.28
114,Bhatkal,IN,2021-07-14 20:34:37,13.9667,74.5667,78.62,86,100,12.17
115,Nador,MA,2021-07-14 20:34:37,35.174,-2.9287,73.47,78,0,6.91
116,Aviles,ES,2021-07-14 20:34:37,43.5547,-5.9248,64.76,77,75,1.99
117,Port Hedland,AU,2021-07-14 20:34:38,-20.3167,118.5667,62.65,67,14,8.05
118,Puerto Cabezas,NI,2021-07-14 20:30:14,14.0351,-83.3888,87.76,79,40,9.22
119,Plaster Rock,CA,2021-07-14 20:34:38,46.9065,-67.39,70.56,86,100,11.14
120,Puerto Cabello,VE,2021-07-14 20:34:38,10.4731,-68.0125,80.13,79,90,10.83
121,Cherskiy,RU,2021-07-14 20:31:07,68.75,161.3,57.74,62,39,13.58
122,Srednekolymsk,RU,2021-07-14 20:31:17,67.45,153.6833,64.38,58,17,3.24
123,Ponta Do Sol,PT,2021-07-14 20:31:20,32.6667,-17.1,72.72,81,1,6.29
124,Faya,SA,2021-07-14 20:34:39,18.3851,42.4509,69.91,68,100,6.06
125,Sakakah,SA,2021-07-14 20:34:39,29.9697,40.2064,94.57,18,4,12.57
126,Nanortalik,GL,2021-07-14 20:30:30,60.1432,-45.2371,49.77,74,29,9.26
127,Yarada,IN,2021-07-14 20:31:47,17.65,83.2667,80.92,100,75,2.3
128,Tavricheskoye,RU,2021-07-14 20:34:40,54.5851,73.6395,49.91,96,100,13.89
129,Arlit,NE,2021-07-14 20:34:40,18.7369,7.3853,94.15,30,100,10.18
130,Carnarvon,AU,2021-07-14 20:32:31,-24.8667,113.6333,57.27,55,75,8.05
