City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Puerto Lopez,CO,79.75,scattered clouds,4.0845,-72.956,Resguardo Indigena Maguare
336,Pundaguitan,PH,83.26,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
344,Tual,ID,80.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
345,Vanimo,PG,78.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
350,Ko Samui,TH,80.98,overcast clouds,9.5357,99.9357,The Passage
351,Seoul,KR,80.04,scattered clouds,37.5683,126.9778,롯데호텔 서울
364,Lagunas,PE,81.75,broken clouds,-5.2269,-75.6753,Hospedaje Eco
365,Srikakulam,IN,80.64,broken clouds,18.3,83.9,Sriram residency
369,Ternate,ID,79.5,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
375,Chauk,MM,82.29,light rain,20.8833,94.8167,Bo Khin Guest House
378,Divnomorskoye,RU,75.83,clear sky,44.5011,38.1353,Primorskiy
382,Kerema,PG,79.38,overcast clouds,-7.9631,145.7785,Frena Lodge
383,Terra Santa,BR,82.31,broken clouds,-2.1042,-56.4869,Hotel Sarah
384,Smoky Lake,CA,87.49,overcast clouds,54.1169,-112.4686,Country Garden Hotel
385,Kulhudhuffushi,MV,82.44,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
387,Umm Lajj,SA,84.81,few clouds,25.0213,37.2685,Moon light Furnished Units
389,Taitung,TW,79.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
390,Yankton,US,79.05,few clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
391,Harper,LR,76.8,overcast clouds,4.375,-7.7169,Screensaver
394,Kavaratti,IN,82.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
395,Santa Isabel Do Rio Negro,BR,76.84,broken clouds,-0.4139,-65.0192,Hotel GSA
397,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
400,Yamada,JP,75.63,clear sky,39.4667,141.95,Iroha-ya Inn
402,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
406,Griffith,US,79.29,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
408,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
416,Port Said,EG,81.16,clear sky,31.2565,32.2841,Aracan Hotel
418,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
419,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
421,Osmena,PH,78.75,moderate rain,10.5208,119.9258,Arjemarkyza Lodge
424,Peniche,PT,78.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
427,Erzin,TR,81.32,clear sky,36.9559,36.2,Artemis Otel
429,Gallup,US,79.56,broken clouds,35.5281,-108.7426,El Capitan Motel
435,Shenjiamen,CN,78.67,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
438,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
439,Ypsonas,CY,77.97,few clouds,34.6884,32.9574,Club Aphrodite
440,Nizwa,OM,83.77,overcast clouds,22.9333,57.5333,Orient Apartments
442,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
443,San Carlos,VE,82.56,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
444,Haimen,CN,78.69,moderate rain,23.1935,116.6142,Jinghao Business Hotel
446,Gimli,CA,88.05,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
447,Bayan,CN,76.6,clear sky,46.0833,127.4,Wanhao Inn
449,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
451,Corrente,BR,80.65,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
454,Sabha,LY,88.59,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
458,North Platte,US,84.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
462,Dariba,IN,83.34,broken clouds,24.95,74.1333,JDO Hostel
465,Garmsar,IR,81.05,clear sky,35.2182,52.3409,Peyvand Hotel
468,Manzil Salim,TN,86.0,clear sky,35.8567,8.4765,mohamed ben khlil omri
472,Ingham,US,80.17,overcast clouds,42.6,-84.3833,Sunset Place
473,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
476,Villanueva De La Serena,ES,81.01,overcast clouds,38.9766,-5.7974,Hotel Veracruz
477,Semaria,IN,83.88,broken clouds,24.3073,79.9718,mishra Tea Pan
484,Khash,IR,75.72,overcast clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
486,Komsomolskiy,UZ,76.42,broken clouds,40.4272,71.7189,Ikathouse
487,Thunder Bay,CA,81.0,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
488,Ambon,ID,78.35,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
489,Cuiluan,CN,77.38,broken clouds,47.72,128.648,Shuncheng Hotel
490,Port Moresby,PG,77.94,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
494,Kaduqli,SD,75.04,light rain,11.0167,29.7167,فندق الله جابو
495,Fairbanks,US,75.54,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
496,Pacific Grove,US,87.57,broken clouds,36.6177,-121.9166,Lovers Point Inn
497,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
501,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
504,Presidente Medici,BR,83.37,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
512,Sorong,ID,77.77,broken clouds,-0.8833,131.25,waigo splash hotel
515,Clinton,US,84.52,overcast clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
516,Shihezi,CN,76.06,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
519,Mozarlandia,BR,78.82,few clouds,-14.7447,-50.5706,Hotel Santa Mônica
523,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
524,Jangaon,IN,75.15,overcast clouds,17.7167,79.1833,Sri Lakshmi Narasimha Fuction Hall
529,Barahona,DO,85.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
530,Gerash,IR,86.63,overcast clouds,27.6652,54.1371,Sa'adat House
